11.04.2026 08:49:36 | ERROR    | processor                 | Error processing JATT.U [1D]: Source file not found: /app/data/parquet/JATT.U/1D.parquet
11.04.2026 08:49:36 | ERROR    | processor                 | Error processing SGBXV [1D]: Source file not found: /app/data/parquet/SGBXV/1D.parquet
11.04.2026 08:49:36 | ERROR    | processor                 | Error processing AACT.U [1D]: Source file not found: /app/data/parquet/AACT.U/1D.parquet
11.04.2026 08:49:37 | ERROR    | processor                 | Error processing ATAC [1D]: Source file not found: /app/data/parquet/ATAC/1D.parquet
11.04.2026 08:49:37 | ERROR    | processor                 | Error processing WPAC.RT [1D]: Source file not found: /app/data/parquet/WPAC.RT/1D.parquet
11.04.2026 08:49:37 | ERROR    | processor                 | Error processing JMACU [1D]: Source file not found: /app/data/parquet/JMACU/1D.parquet
11.04.2026 08:49:37 | ERROR    | processor                 | Error processing CRECU [1D]: Source file not found: /app/data/parquet/CRECU/1D.parquet
11.04.2026 08:49:37 | ERROR    | processor                 | Error processing EMO.RT [1D]: Source file not found: /app/data/parquet/EMO.RT/1D.parquet
11.04.2026 08:49:37 | ERROR    | processor                 | Error processing EFSH [1D]: Source file not found: /app/data/parquet/EFSH/1D.parquet
11.04.2026 08:49:37 | ERROR    | processor                 | Error processing DGNR.U [1D]: Source file not found: /app/data/parquet/DGNR.U/1D.parquet
11.04.2026 08:49:37 | ERROR    | processor                 | Error processing SCPX [1D]: Source file not found: /app/data/parquet/SCPX/1D.parquet
11.04.2026 08:49:38 | ERROR    | processor                 | Error processing CIMG [1D]: Source file not found: /app/data/parquet/CIMG/1D.parquet
11.04.2026 08:49:38 | ERROR    | processor                 | Error processing QHC [1D]: Source file not found: /app/data/parquet/QHC/1D.parquet
11.04.2026 08:49:38 | ERROR    | processor                 | Error processing ENNVW [1D]: Source file not found: /app/data/parquet/ENNVW/1D.parquet
11.04.2026 08:49:38 | ERROR    | processor                 | Error processing GDSTR [1D]: Source file not found: /app/data/parquet/GDSTR/1D.parquet
11.04.2026 08:49:38 | ERROR    | processor                 | Error processing QFTA [1D]: Source file not found: /app/data/parquet/QFTA/1D.parquet
11.04.2026 08:49:38 | ERROR    | processor                 | Error processing PTPI [1D]: Source file not found: /app/data/parquet/PTPI/1D.parquet
11.04.2026 08:49:38 | ERROR    | processor                 | Error processing NHS.RT.WI [1D]: Source file not found: /app/data/parquet/NHS.RT.WI/1D.parquet
11.04.2026 08:49:39 | ERROR    | processor                 | Error processing VSAC [1D]: Source file not found: /app/data/parquet/VSAC/1D.parquet
11.04.2026 08:49:39 | ERROR    | processor                 | Error processing ENFY [1D]: Source file not found: /app/data/parquet/ENFY/1D.parquet
11.04.2026 08:49:39 | ERROR    | processor                 | Error processing HPCO [1D]: Source file not found: /app/data/parquet/HPCO/1D.parquet
11.04.2026 08:49:39 | ERROR    | processor                 | Error processing TTSH [1D]: Source file not found: /app/data/parquet/TTSH/1D.parquet
11.04.2026 08:49:39 | ERROR    | processor                 | Error processing GHSI [1D]: Source file not found: /app/data/parquet/GHSI/1D.parquet
11.04.2026 08:49:39 | ERROR    | processor                 | Error processing CODX [1D]: Source file not found: /app/data/parquet/CODX/1D.parquet
11.04.2026 08:49:39 | ERROR    | processor                 | Error processing CLAQR [1D]: Source file not found: /app/data/parquet/CLAQR/1D.parquet
11.04.2026 08:49:39 | ERROR    | processor                 | Error processing SQM.RT [1D]: Source file not found: /app/data/parquet/SQM.RT/1D.parquet
11.04.2026 08:49:39 | ERROR    | processor                 | Error processing AFIIQ [1D]: Source file not found: /app/data/parquet/AFIIQ/1D.parquet
11.04.2026 08:49:39 | ERROR    | processor                 | Error processing CHNGV [1D]: Source file not found: /app/data/parquet/CHNGV/1D.parquet
